journal,role,name,affiliation
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Bondareva Svetlana,"University of Basel, Switzerland"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Gabdullova Dina,"Eurasian Humanities Institute, Kazakhstan"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Uaisova Tamiris,"Eurasian Humanities Institute, Kazakhstan"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Yosuke Uchiyama,"Chulalongkorn University, Thailand"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Youqian Zhong,"Jinan University, China"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Zhongxuan Gao,"Nanjing University of the Arts, China"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Yuyun Zhang,"Communication University of Nanjing, China"
"Journal of Law, Psychology, and Communication Studies",Guest Editor,Lili Long,"Beijing Normal University, China"
Journal of Social Cognition and Communication,Editor-in-Chief,Yangyi Ren,"Institute of Malaysia and International Studies (IKMAS), Universiti Kebangsaan Malaysia, Bangi, Malaysia"
Journal of Social Cognition and Communication,Editorial Board Member,Jun Gui,"Guangzhou Huali College, China"
Journal of Social Cognition and Communication,Editorial Board Member,Peng Zhu,"Sejong University, South Korea"
Journal of Social Cognition and Communication,Editorial Board Member,Pengcheng Wang,"Kyung Hee University, South Korea"
Journal of Social Cognition and Communication,Editorial Board Member,Raul Zeyi Huang,International Finance Corporation
Journal of Social Cognition and Communication,Editorial Board Member,Shanliang Xu,"Harbin Institute of Technology, China"
PoliEcoM Administration Review,Editor-in-Chief,Yiming Yang,"Department of Economics and Finance, Sangmyung University, Seoul, South Korea"
PoliEcoM Administration Review,Co-Editor-in-Chief,Yuting Chen,"Institute of Economics, Anhui Academy of Social Sciences (AASS), Hefei, China"
PoliEcoM Administration Review,Co-Editor-in-Chief,Haoqi Luo,"School of Public Policy & Administration, Chongqing University, Chongqing, China"
PoliEcoM Administration Review,Chair of the Editorial Board,Haipeng Zhao,"School of Public Policy and Management, Tsinghua University, Beijing, China"
PoliEcoM Administration Review,Associate Editor,Junyu Zhu,"School of Public Policy & Administration, Chongqing University, Chongqing, China"
PoliEcoM Administration Review,Editorial Board Member,Raul Zeyi Huang,"International Finance Corporation (IFC), World Bank Group, Washington, DC, United States"
PoliEcoM Administration Review,Editorial Board Member,Yosuke Uchiyama,"Transportation Institute, Chulalongkorn University, Bangkok, Thailand"
PoliEcoM Administration Review,Guest Editor,Siyang Mei,"School of Economics and Management, Guangzhou College, Guangzhou, China"
Rural Governance and Green Development,Editor-in-Chief,Bing Wang,"Lanzhou University, China"
Rural Governance and Green Development,Co-Editor-in-Chief,Wan Li,"Dalian Polytechnic University, China"
Rural Governance and Green Development,Section Editor,Wenyu Zhou,"Shihezi University, China"
Rural Governance and Green Development,Guest Editor,Shaokun Li,"Beijing Normal University, China"
Rural Governance and Green Development,Editorial Board Member,Raul Zeyi Huang,"International Finance Corporation, USA"
Rural Governance and Green Development,Editorial Board Member,Changliang Jie,"Jiangxi Academy of Social Sciences, China"
Rural Governance and Green Development,Editorial Board Member,Yong Guo,"Party School of CPC Wuhe County Committee, China"
Rural Governance and Green Development,Youth Editorial Board Member,Dong Wang,"Chinese Academy of Agricultural Sciences, China"
Rural Governance and Green Development,Youth Editorial Board Member,Jicong Xue,"Shanghai Gongjin Logistics Co., Ltd., China"
"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editor-in-Chief,Hengjie Wang,"Panorama Research Institute, Hong Kong, China"
"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,"Dongming Zhou, PhD","Department of Confucian Studies, Sungkyunkwan University, Republic of Korea"
"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,"Wenqiang Yu, PhD","Department of Philosophy, Chonnam National University, Republic of Korea"
"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,Ziyao Wei,"School of Philosophy and Social Development, Shandong University, China"
"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,Ven. Juesen,"Institute of Religious Studies, Southwest Jiaotong University, China"
"Three Teachings Studies: Confucianism, Daoism, and Buddhism",Editorial Board Member,Xingwang Huang,"Department of Philosophy, School of Humanities, Hainan University, China"
Contemporary Review of Political Thought,Editor-in-Chief,Mengzhou Wu,"Party School of the CPC Ning Guo Municipal Committee (Ning Guo Administrative College), China"
Contemporary Review of Political Thought,Associate Editor,Xinmeng Wang,"School of Marxism, Anhui Vocational College of Industry and Economy, China"
Contemporary Review of Political Thought,Editorial Board Member,Rongli Xu,"Party School of the CPC Ning Guo Municipal Committee (Ning Guo Administrative College), China"
Health Nexus: Digital Health and Medical AI,Editor-in-Chief,Qilong Wang,
